screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
joaoamoedonovo,2021-04-19T16:18:20Z,RT @MBLivre: Presidente americano Joe Biden anuncia que hoje a vacina está disponível para todos os americanos. https://t.co/u3o2yVhywl,,MBLivre,"Administrador, engenheiro, um dos fundadores e ex-presidente do @partidonovo30.",Twitter for Android,pt,1384179569712713735
joaoamoedonovo,2021-04-19T16:05:53Z,"Temos que fazer a nossa parte. Não podemos deixar o Brasil continuar andando para trás.

https://t.co/AvSETYKo9T",,,"Administrador, engenheiro, um dos fundadores e ex-presidente do @partidonovo30.",Twitter Web App,pt,1384176435552608259
joaoamoedonovo,2021-04-19T15:32:40Z,"O governo federal e o Congresso ignoraram no Orçamento de 2021 a nova onda do coronavírus. A falta de planejamento levou a atrasos no:

-Auxílio Emergencial
-Programa de manutenção do emprego
-Pronampe

O brasileiro paga a conta com a fome, o desemprego e falências.",,,"Administrador, engenheiro, um dos fundadores e ex-presidente do @partidonovo30.",Twitter Web App,pt,1384168077697314825
joaoamoedonovo,2021-04-19T12:53:14Z,RT @o_antagonista: .@joaoamoedonovo sugeriu no Twitter os temas a serem investigados pela CPI da Covid. https://t.co/2zCtyUIzVR,,o_antagonista,"Administrador, engenheiro, um dos fundadores e ex-presidente do @partidonovo30.",Twitter Web App,pt,1384127951311040517
joaoamoedonovo,2021-04-19T12:25:58Z,Informações de @OGloboPolitica,joaoamoedonovo,,"Administrador, engenheiro, um dos fundadores e ex-presidente do @partidonovo30.",Twitter Web App,pt,1384121090243383296
joaoamoedonovo,2021-04-19T12:19:42Z,"A CPI da Pandemia no Senado deve investigar o governo federal quanto:

-Atraso das vacinas
-Falta de kits intubação e oxigênio
-Aquisição de remédios sem eficácia
-A péssima atuação internacional
-Desorientação à população e falta de orientações básicas
-E mais

Não faltam crimes",,,"Administrador, engenheiro, um dos fundadores e ex-presidente do @partidonovo30.",Twitter Web App,pt,1384119514418216969
joaoamoedonovo,2021-04-18T19:21:07Z,Leia a coluna completa em https://t.co/rvNDUpnqgA,joaoamoedonovo,,"Administrador, engenheiro, um dos fundadores e ex-presidente do @partidonovo30.",Twitter for Android,pt,1383863178853969921
joaoamoedonovo,2021-04-18T19:21:06Z,"""Membros do Executivo e do Legislativo não aceitam a existência de restrições para atender suas paróquias e ficam a propor truques para driblar as regras fiscais. 

O descontrole tem consequências, como mostram a inflação, o câmbio e as taxas longas de juros."" - Marcos Lisboa",,,"Administrador, engenheiro, um dos fundadores e ex-presidente do @partidonovo30.",Twitter for Android,pt,1383863176891015168
joaoamoedonovo,2021-04-18T15:42:35Z,Informações de @RevistaEpoca,joaoamoedonovo,,"Administrador, engenheiro, um dos fundadores e ex-presidente do @partidonovo30.",Twitter Web App,pt,1383808183223734272
joaoamoedonovo,2021-04-18T15:42:25Z,"O governo federal gastará R$500 mil em uma campanha para mostrar que a TV Brasil é imparcial.

A TV Brasil faz parte da EBC - conglomerado de mídia estatal federal - que dá prejuízo de R$500 milhões ao ano. 

A forma mais eficiente de demonstrar a ""imparcialidade"" é fechar a EBC.",,,"Administrador, engenheiro, um dos fundadores e ex-presidente do @partidonovo30.",Twitter Web App,pt,1383808141897342986
joaoamoedonovo,2021-04-17T18:52:15Z,"Em 2022, temos que fazer a nossa parte. Não vamos eleger criminosos. https://t.co/UoVBRswYAJ",,,"Administrador, engenheiro, um dos fundadores e ex-presidente do @partidonovo30.",Twitter for Android,pt,1383493528211189772
joaoamoedonovo,2021-04-17T18:44:25Z,RT @qualmascara: Vamos falar de coisa boa: agora o Qual Máscara tem um perfil em espanhol! Um grupo de seguidoras de diferentes países da América Latina sentiu falta de recomendações claras por lá e pediu pra traduzir nosso conteúdo. Saiu essa parceria incrível! ❤️ https://t.co/fQhnaouub3 https://t.co/NXhJs1veHU,,qualmascara,"Administrador, engenheiro, um dos fundadores e ex-presidente do @partidonovo30.",Twitter for Android,pt,1383491557404282884
joaoamoedonovo,2021-04-17T15:20:46Z,"RT @freire_roberto: A pandemia já sufocou a voz de 365 mil brasileiros e não nos deixa ir pras ruas (Fiat Elba ou pedalada não se comparam a tal tragédia). Mas as redes estão tomadas pelo impeachment, @felipeoabrj. Só em 2021, mais de 2 mi de menções e 1 mi de #foraBolsonaro. https://t.co/fAKDyGSvYP",,freire_roberto,"Administrador, engenheiro, um dos fundadores e ex-presidente do @partidonovo30.",Twitter for Android,pt,1383440304712294402
joaoamoedonovo,2021-04-17T11:16:04Z,"Esse é o governo que temos: usa o dinheiro do cidadão para atacá-lo ao invés de providenciar vacinas e kits de intubação.
#ImpeachmentJá https://t.co/H4bVb6pXsf",,,"Administrador, engenheiro, um dos fundadores e ex-presidente do @partidonovo30.",Twitter for iPhone,pt,1383378724477825035
joaoamoedonovo,2021-04-16T21:40:43Z,"RT @FMouraBrasil: Danilo Gentili e João Amoêdo conversaram na quarta-feira sobre o cenário eleitoral de 2022 e ficaram alinhados sobre as condições de formação de bloco alternativo a Lula e Bolsonaro, sem rabo-preso.

Amoêdo também tem conversado com Sergio Moro, que já acenou com voto em Gentili.",,FMouraBrasil,"Administrador, engenheiro, um dos fundadores e ex-presidente do @partidonovo30.",Twitter Web App,pt,1383173535863078915
joaoamoedonovo,2021-04-16T20:30:22Z,"Estudos publicados esta semana em 2 das mais importantes revistas científicas do mundo:

-Science: Governo federal brasileiro é o maior culpado por erros na pandemia no Brasil
-Nature: Cloroquina não é útil no tratamento contra covid-19

Mais um legado internacional de Bolsonaro.",,,"Administrador, engenheiro, um dos fundadores e ex-presidente do @partidonovo30.",Twitter Web App,pt,1383155831403913219
