screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
jairbolsonaro,2021-04-19T12:41:37Z,- @exercitooficial https://t.co/DC2y3KWDv7,,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.",Twitter for iPhone,,1384125027654639622
jairbolsonaro,2021-04-19T11:24:25Z,https://t.co/b7S5MX8uCw,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.",Twitter for iPhone,,1384105603019141122
jairbolsonaro,2021-04-19T11:24:13Z,"- Força-Tarefa do Comando Militar da Amazônia, sob controle operacional do 2º Grupamento de Engenharia, foi designada para a Operação de Vacinação em Áreas Ribeirinhas 2021. @DefesaGovBr https://t.co/qTpIbU2c0b",jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.",Twitter for iPhone,pt,1384105552653914119
jairbolsonaro,2021-04-19T11:23:32Z,"- Mais 56km de reconstrução entregues na última semana na BR-122/CE. Recuperação das estradas cearenses tem sido uma prioridade do @govbr . O @MInfraestrutura , Capitão @tarcisiogdf , praticamente zerou o estoque de obras paradas no estado. @DNIToficial https://t.co/Kis8r68URx",jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.",Twitter for iPhone,pt,1384105379559182340
jairbolsonaro,2021-04-19T11:21:44Z,- Batalhão do Exército Brasileiro no processo de vacinação contra o covid-19 em Lorena (SP). @exercitooficial https://t.co/TvCCeTMsue,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.",Twitter for iPhone,pt,1384104925953617922
jairbolsonaro,2021-04-19T11:21:03Z,"-Forças Armadas ampliam vacinação contra o covid. Depois de SP, RJ, MT, RS, indígenas e ribeirinhos, a ação avança no Pará.

-Moradores de Belém contam com mais 2 postos, abertos em organizações militares. Detalhes nas redes sociais: @exercitooficial @DefesaGovBr 

. Segue o fio: https://t.co/xmtoLs00TH",,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.",Twitter for iPhone,pt,1384104753764864001
jairbolsonaro,2021-04-18T17:27:40Z,"1.2- Previsão é que as entregas cresçam em volume nos próximos meses e cheguem a 21,5 milhões, em maio; 34,2 milhões, em junho; e 22 milhões, em julho. No segundo semestre de 2021, a @fiocruz prevê produzir mais 110 milhões de doses da vacina com IFA fabricado no Brasil. @govbr",jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.",Twitter for iPhone,pt,1383834627840745472
jairbolsonaro,2021-04-18T17:26:54Z,"1.1- Ao longo do mês de abril, o cronograma da FioCruz prevê a entrega de 18 milhões de vacinas. Na próxima semana, serão mais 4,7 milhões e, entre 26/04 e 1/05, 6,7 milhões de doses devem chegar ao PNI, superando a marca de 5 milhões alcançada nesta última semana. @minsaude https://t.co/Xg7etDxoFZ",jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.",Twitter for iPhone,pt,1383834437314510848
jairbolsonaro,2021-04-18T17:25:29Z,"A2. O @govbr busca a interação entre a família e a criança, fomentando o uso do graphogame para alfabetização de nossos pequenos.

Baixe o aplicativo. Mais informações nas redes sociais: @MEC_Comunicacao @mribeiroMEC @CarlosNadalim https://t.co/RQbcUwu5NO",jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.",Twitter for iPhone,pt,1383834078772830215
jairbolsonaro,2021-04-18T17:23:59Z,A1. O Brasil ainda tem maior parte de suas escolas fechadas por determinação de governadores e prefeitos. O país é um dos com o maior tempo de instituições de ensino em não funcionamento no mundo.,jairbolsonaro,,"Capitão do Exército Brasileiro, eleito 38° Presidente da República Federativa do Brasil. 🇧🇷.",Twitter for iPhone,pt,1383833700022976517
