screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
LucianoHuck,2021-04-19T12:25:08Z,"Hj é dia de refletir sobre a importância dos nossos povos tradicionais. A pandemia pôs em risco etnias q estão nos primórdios da nossa identidade. A riqueza cultural do BR nos fortalece. Precisamos saber ouvir e tratar nossos indígenas c/ respeito, cuidado e carinho. https://t.co/kx7cnrRAoZ",,,curious / curioso,Twitter for iPhone,pt,1384120880352034819
LucianoHuck,2021-04-16T16:55:05Z,"Nossos desafios como nação são enormes. As consequências da atual gestão desastrosa de combate à Covid19 vão se alongar por gerações. O q torna ainda + urgente um projeto de país realista e factível, q não brinque com a esperança das pessoas e nem manipule o cidadão com mentiras. https://t.co/qrY4X1AwPy",,,curious / curioso,Twitter for iPhone,pt,1383101651125420045
LucianoHuck,2021-04-12T23:33:56Z,"“Novinha” é um dos termos mais procurados em sites pornográficos. O Brasil é um dos países com maior taxa de gravidez entre adolescentes no continente. Pra encontrar uma solução, só há um caminho: precisamos falar sobre isso. https://t.co/KRBlK1GeIN",,,curious / curioso,Twitter for iPhone,pt,1381752474206412803
LucianoHuck,2021-04-11T15:01:24Z,"O Terceiro Setor é uma poderosa encubadora de políticas públicas. Sem ONGs, centrais de favelas, movimentos indígenas, articulações empresarias filantrópicas, a fome na pandemia estaria bem maior. Por respeito ao Terceiro Setor, recomendo a leitura do manifesto de hoje na @folha. https://t.co/6ZR9Vcqql9",,,curious / curioso,Twitter for iPhone,pt,1381261104026894336
LucianoHuck,2021-04-10T21:23:51Z,"@Fcxthay por favor mande um carinhoso bj a sua bisa. Adoraria encontra-la, estou com uma saudade dos abraços que vc nem imagina. Em breve e com a vacina eles vão voltar. Feliz aniversário. Saúde saúde e mais saúde para ela. ❤️🎂 https://t.co/kPSdPNmpHt",Fcxthay,,curious / curioso,Twitter for iPhone,pt,1380994960992915457
LucianoHuck,2021-04-10T18:44:06Z,Acabou de publicar uma foto https://t.co/iAIfpnglV6,,,curious / curioso,Instagram,pt,1380954760849678336
LucianoHuck,2021-04-10T17:06:12Z,O padrão mais tradicional pra aferir o crescimento de um país ainda é o PIB. Mas este conceito não expressa o desenvolvimento sustentável e o bem-estar social que moldam a realidade do século 21. Taí um debate atualíssimo. Recomendo ler coluna de Carlos Góes no @JornalOGlobo hj. https://t.co/Vr2BhsfCIa,,,curious / curioso,Twitter for iPhone,pt,1380930123495575560
LucianoHuck,2021-04-09T21:45:53Z,"Concordo em gênero, número e grau. https://t.co/OANWJLO9MT",,,curious / curioso,Twitter for iPhone,pt,1380638121432383500
LucianoHuck,2021-04-09T00:44:59Z,Só para ver se eu entendi; a ideia é zerar as taxas de importação de armas e aumentar a taxa sobre LIVROS? E isso durante a maior crise do sistema educacional que já enfrentamos. Realmente as prioridades estão completamente invertidas. https://t.co/VQIDQM5Mmz,,,curious / curioso,Twitter for iPhone,pt,1380320803527475200
LucianoHuck,2021-04-08T19:39:19Z,"Erra quem liga desmatamento a desenvolvimento. O Índice de Progresso Social de 600 cidades da Amazônia está abaixo da média brasileira. Pra mudar isto, empresas e ONGs cobram arrojo do governo, que faz gestão desastrosa no meio ambiente. Produção aliada à preservação é solução. https://t.co/Cw2xxuTZwV",,,curious / curioso,Twitter for iPhone,pt,1380243882437451776
