screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
LulaOficial,2021-04-19T13:36:54Z,"RT @inst_lula: DIA DE LUTA E RESISTÊNCIA DOS POVOS INDÍGENAS ✊

[19/04/2005] 🌱 Presidente @LulaOficial recebe o cacique Rani, durante comemoração do Dia de Luta e Resistência dos Povos Indígenas. #ArquivoInstitutoLula #AbrilIndígena 

📷: Ricardo Stuckert https://t.co/3yWncVgFFN",,inst_lula,Ex-presidente da República do Brasil (2003-2010).,Twitter for iPhone,pt,1384138942308519940
LulaOficial,2021-04-19T12:15:32Z,"Exatamente um ano atrás, quando o número de mortos pelo Covid no Brasil era de 1.900, @LulaOficial dizia ao @guardian que Bolsonaro estava levando o país “ao matadouro”. Doze meses depois, mais de 373 mil brasileiros morreram. #equipeLula https://t.co/nj3T2aokIQ",,,Ex-presidente da República do Brasil (2003-2010).,Twitter for iPhone,pt,1384118465993220106
LulaOficial,2021-04-17T19:07:31Z,"RT @inst_lula: Hoje, @LulaOficial recebeu sua escultura feita pelo artista Edgar Duvivier! O “Lulinha” está à venda e parte da renda será destinada ao Instituto Lula! 

📌 ENCOMENDAS PELO PERFIL DO EDGAR NO INSTAGRAM: https://t.co/nfJ7EDLMnK

📷: Ricardo Stuckert https://t.co/URDbducuQM",,inst_lula,Ex-presidente da República do Brasil (2003-2010).,Twitter for iPhone,pt,1383497370449506304
LulaOficial,2021-04-17T16:39:29Z,Era outra década??? #equipeLula https://t.co/whd98scNEv,,,Ex-presidente da República do Brasil (2003-2010).,Twitter for iPhone,pt,1383460114019995658
LulaOficial,2021-04-17T15:16:33Z,4 - Participe da campanha de doação do #PTSolidário: https://t.co/Kz3L1vKf2z,LulaOficial,,Ex-presidente da República do Brasil (2003-2010).,Twitter Web App,pt,1383439245453320211
LulaOficial,2021-04-17T15:09:35Z,"3 - Não tem explicação o povo estar passando fome, a não ser a irresponsabilidade do governo. O Brasil tem terra, tem capacidade de produção. E a gente já provou que era possível tomar café da manhã, almoçar e jantar.",LulaOficial,,Ex-presidente da República do Brasil (2003-2010).,Twitter Web App,pt,1383437492041379854
LulaOficial,2021-04-17T15:09:35Z,"2- Ao mesmo tempo que me senti alegre de poder contribuir, me senti triste de pensar que em um país com o conhecimento tecnológico em agricultura que tem o Brasil, o povo voltou a passar necessidade.",LulaOficial,,Ex-presidente da República do Brasil (2003-2010).,Twitter Web App,pt,1383437490095149066
LulaOficial,2021-04-17T15:09:34Z,"1 - Hoje de manhã fui até o @smabc  participar de um mutirão de arrecadação de alimentos. É preciso dizer: a fome não é um fenômeno da natureza. 

Foto: Ricardo Stuckert https://t.co/Dimshspyje",,,Ex-presidente da República do Brasil (2003-2010).,Twitter Web App,pt,1383437488031600642
LulaOficial,2021-04-17T14:18:34Z,Lula participa de campanha de doação de alimentos no Sindicato dos Metalúrgicos do ABC; participe #PTSolidário https://t.co/fJXNNYRMHX,,,Ex-presidente da República do Brasil (2003-2010).,Periscope,pt,1383424653528469508
LulaOficial,2021-04-17T13:27:14Z,"RT @AJEnglish: ‘Brazil’s businessmen should pray I return as president.’

Brazil’s former President @LulaOficial discusses if he plans to return to power and the ‘political persecution’ against him.

Watch the full episode ➡️ https://t.co/xiYCHi8ZIy [via @TalktoAlJazeera] https://t.co/G6lUffTNnp",,AJEnglish,Ex-presidente da República do Brasil (2003-2010).,Twitter for iPhone,en,1383411732773703686
LulaOficial,2021-04-17T12:09:08Z,Lula conversou com o jornalista Sami Zeidan da @AJEnglish sobre o Brasil e a pandemia do coronavírus. #equipeLula   https://t.co/KSko1AGE4X,,,Ex-presidente da República do Brasil (2003-2010).,Twitter Web App,pt,1383392078571270144
LulaOficial,2021-04-16T19:05:43Z,"RT @wdiaspi: Todos nós queremos democracia e justiça. E foi isso que o STF fez com a decisão de arquivar os procedimentos contra o presidente Lula, que tiraram dele direitos políticos - claramente uma artimanha para que não fosse eleito em 2018. https://t.co/sF8QpBk6Nm",,wdiaspi,Ex-presidente da República do Brasil (2003-2010).,Twitter for iPhone,pt,1383134527233622024
LulaOficial,2021-04-16T18:54:15Z,RT @JLMelenchon: Immense joie pour @LulaOficial. Le juge voyou Moro désavoué par le tribunal suprême du Brésil. Lula libre et éligible.,,JLMelenchon,Ex-presidente da República do Brasil (2003-2010).,Twitter for iPhone,fr,1383131643804848128
LulaOficial,2021-04-16T18:51:05Z,"RT @CamiloSantanaCE: Conversei por telefone, há pouco, com o ex-presidente Lula. Um exemplo vivo de que toda luta por Justiça vale à pena. Sempre. @LulaOficial",,CamiloSantanaCE,Ex-presidente da República do Brasil (2003-2010).,Twitter for iPhone,pt,1383130843317682186
LulaOficial,2021-04-16T18:50:50Z,RT @costa_rui: O STF manteve a decisão que anulou as condenações do ex-presidente @LulaOficial pela Justiça Federal do Paraná. É a vitória da verdade e a esperança de dias melhores para o povo brasileiro.,,costa_rui,Ex-presidente da República do Brasil (2003-2010).,Twitter for iPhone,pt,1383130782357676033
LulaOficial,2021-04-16T18:49:55Z,"RT @FlavioDino: Falei hoje, por telefone, com o ex-presidente @LulaOficial. Participei enfaticamente da campanha Lula Livre, pois - como ex-juiz federal e professor de Direito Constitucional - não poderia me omitir diante de gritantes ilegalidades. O STF aplicou bem a Constituição e o CPP https://t.co/wpyz8zSZ6o",,FlavioDino,Ex-presidente da República do Brasil (2003-2010).,Twitter for iPhone,pt,1383130551255711745
LulaOficial,2021-04-16T18:49:37Z,RT @fatimabezerra: Livre e elegível! A decisão do STF é o início de uma correção histórica em meio a tantas perdas irreparáveis. O reconhecimento da incompetência do juiz Moro para julgar o presidente @LulaOficial é a primeira de muitas vitórias da democracia que estão por vir. Brilha uma ⭐️! #tbt https://t.co/IkDp21ZNbU,,fatimabezerra,Ex-presidente da República do Brasil (2003-2010).,Twitter for iPhone,pt,1383130474437042176
LulaOficial,2021-04-16T18:49:17Z,RT @alferdez: Quiero agradecerle sus sentidas  palabras de amistad personal y de apoyo a nuestra gestión de gobierno. Ambos soñamos con una Latinoamérica unida que luche en esta hora contra el flagelo de la pandemia y procure políticas que aseguren una igualdad social que hoy no tenemos.,,alferdez,Ex-presidente da República do Brasil (2003-2010).,Twitter for iPhone,es,1383130393025650689
LulaOficial,2021-04-16T18:49:15Z,"RT @alferdez: Finalmente vi a mi querido amigo @LulaOficial en una muy buena entrevista que le realizó @Gatosylvestre. Me colmó de alegría verlo con sus fuerzas renovadas y sus firmes convicciones de siempre, retomando plenamente esa militancia que lo convirtió en un líder en nuestra región. https://t.co/vGHA98QF3K",,alferdez,Ex-presidente da República do Brasil (2003-2010).,Twitter for iPhone,es,1383130381919080449
